song_id,song_name,Artist,Lyrics,Type
C 01,Kaulu Piyan Path Wahanna,Kasun Kalhara,"කවුළු පියන්පත් වහන්න සඳළුතලාවේ
ඔබ දුරයි නෙතට මා සිටිනා ළවැලි තලාවේ

කවුළු පියන්පත් වහන්න සඳළුතලාවේ

ඔබ දුරයි නෙතට මා සිටිනා ළවැලි තලාවේ

විලක දුරක මල් පිපුනේ අපට නොවේමැයී
ඔරුපාරු ඇවිත් බලා යාවි විල් දිය ගැඹුරුයි
මල් සුවඳ උරා ඇදී යන්නෙ ඹමරුන් කෝමැයි
සඳලුතලාවට පැල්පත දුර නම් බෝමැයි


කවුළු පියන්පත් වහන්න සඳළුතලාවේ

ඔබ දුරයි නෙතට මා සිටිනා ළවැලි තලාවේ

පිරි සිනා සලන සඳවත අහසෙම රැඳුනාවේ
ඉගි මරන තරු කැලුම් අහසට නොම පෙනුනාවේ
සිත ඈත අරන් යන විමනේ සඳලුතලාවේ
කවුළු පියන් වසනු මැනවි නෙතුකැන් හමුවේ


කවුළු පියන්පත් වහන්න සඳළුතලාවේ
ඔබ දුරයි නෙතට මා සිටිනා ළවැලි තලාවේ

කවුළු පියන්පත් වහන්න සඳළුතලාවේ
ඔබ දුරයි නෙතට මා සිටිනා ළවැලි තලාවේ",Calm
C 02,"Ruk Aththana Mala Mudune
",Nanda Malini,"රුක් අත්තන මල මුදුනේ

බඹරු නටන හැන්දෑවේ…
සැදෑ අඳුර පියමන් කර කවුරුද එන්නේ…
පුතුනි බලන් යොමා නුවන්

කවුරුද එන්නේ…


මුතු පිණි දැල් සැළෙන උදේ
උදා දිමුතු හිරු එළියේ…
පුතු සවනට රහස් කියා පියමන් කරලා…
අප වෙනුවෙන් දවස ගෙවා වෙහෙසී එන්නේ…


රුක් අත්තන මල මුදුනේ
බඹරු නටන හැන්දෑවේ…
සැදෑ අඳුර පියමන් කර කවුරුද එන්නේ…
පුතුනි බලන් යොමා නුවන්

කවුරුද එන්නේ…

පතොක් වැටිය උඩින් ඇදී
දිවයුරු මිය යන මොහොතේ…
පුරා හඳක් සේ ඈතින් කවුරුද එන්නේ

පුතුනි බලන් යොමා නුවන් කවුරුද එන්නේ...

රුක් අත්තන මල මුදුනේ
බඹරු නටන හැන්දෑවේ…
සැදෑ අඳුර පියමන් කර කවුරුද එන්නේ…
පුතුනි බලන් යොමා නුවන්
කවුරුද එන්නේ…

කවුරුද එන්නේ…
කවුරුද එන්නේ…
කවුරුද එන්නේ…",Calm
C 03,Samanala Mudune,H R Jothipala and Latha Walpola,"
සමනළ මුදුනේ සිරිපද සිඹ සිඹ
උදා ඉරක් පායයි
සැනසිලි සුව දෙන නව මල්සුවඳින්
දැහැමි දැයක් පිබිදෙයි
දැහැමි දැයක් පිබිදෙයි

සමනළ මුදුනේ සිරිපද සිඹ සිඹ
උදා ඉරක් පායයි
සැනසිලි සුව දෙන නව මල්සුවඳින්
දැහැමි දැයක් පිබිදෙයි
දැහැමි දැයක් පිබිදෙයි


කුලමල ධනබල නොතකන හෙළදැය
සුදු බුදුරැස් පැතිරෙයි
සම මෙත්කරුණා බුදුබණ පදයක
සිහිලෙන් රට සැනැහෙයි
සිහිලෙන් රට සැනැහෙයි


සමනළ මුදුනේ සිරිපද සිඹ සිඹ
උදා ඉරක් පායයි
සැනසිලි සුව දෙන නව මල්සුවඳින්
දැහැමි දැයක් පිබිදෙයි
දැහැමි දැයක් පිබිදෙයි

මිනිසා මිනිසකු විලසින් එළඹෙන
නව යුගයක් ඇරැඹෙයි
තුන් සිංහලය ම අත්වැල් බැඳගෙන
නිවහල් සුවය විඳියි
නිවහල් සුවය විඳියි


සමනළ මුදුනේ සිරිපද සිඹ සිඹ
උදා ඉරක් පායයි
සැනසිලි සුව දෙන නව මල්සුවඳින්
දැහැමි දැයක් පිබිදෙයි
දැහැමි දැයක් පිබිදෙයි

සමනළ මුදුනේ සිරිපද සිඹ සිඹ
උදා ඉරක් පායයි
සැනසිලි සුව දෙන නව මල්සුවඳින්
දැහැමි දැයක් පිබිදෙයි
දැහැමි දැයක් පිබිදෙයි",Calm
C 04,Niwan Dutu Himi,Victor Rathnayaka,"නිවන් දුටු හිමි රැවන් පිළිරැව
පමණි මට අද ශේෂ වුයේ
හිමි දෙසු බණ අසා ඇතිමුදු
ඇසුයේ හිමිගේ හඬින් නොව
අනේපිඩු සිටු පුතුට මෙන්
අනේ හිමියනි මටද දැන්
දෙසා වදහල මැනවී බුදු බණ
මහා කරැණාවෙන්....
(මහා කරැණාවෙන්....)
මහා කරැණාවෙන්....
(මහා කරැණාවෙන්....)

ගලක් වී නම් මමත් ඉවසමි
යකුළු පහරද කැපී වෙන්වෙන
ඔබේ පිළිරැව නිම කරන්නට
කලාකරුවකු අතින් ලැබෙනා
එයින් හිමි හුරැ කළා වූ
ශාන්තිය මට ලැබේවා
මහා කරැණාවෙන්....
(මහා කරැණාවෙන්....)
මහා කරැණාවෙන්....
(මහා කරැණාවෙන්....)


මලක් වන්නට නොැහැක හිමියනි
මිනිස් බව ලැබ සිටින මා හට
මලක් අද ඔබ දෙපා පාමුල
විඳින සිහිලස නොමැත මා හට
මලක් වූදා මගේ ජීවය
ඔබේ පාමුල පරවුනාවේ


නිවන් දුටු හිමි රැවන් පිළිරැව
පමණි මට අද ශේෂ වුයේ
හිමි දෙසු බණ අසා ඇතිමුදු
ඇසුයේ හිමිගේ හඬින් නොව
අනේපිඩු සිටු පුතුට මෙන්
අනේ හිමියනි මටද දැන්
දෙසා වදහල මැනවී බුදු බණ
මහා කරැණාවෙන්....
(මහා කරැණාවෙන්....)
මහා කරැණාවෙන්....
(මහා කරැණාවෙන්....)
මහා කරැණාවෙන්....
(මහා කරැණාවෙන්....)
මහා කරැණාවෙන්....
(මහා කරැණාවෙන්....)
මහා කරැණාවෙන්....
(මහා කරැණාවෙන්....)
මහා කරැණාවෙන්....
(මහා කරැණාවෙන්....)
මහා කරැණාවෙන්....

තෙරැවන් සරණයි !!!!",Calm
C 05,Suwanda Danee Danee Danenawa,Rookantha Gunathilake,"සුවඳ දැනී දැනී දැනෙනවා...
උදා හිරු එළියේ...
අළුත් ඉරක් දෝ මේ...
හිතට ගලනවා හීත බිඳු බිඳු...
හීන් පිනි හුළඟේ හිනස්සා හිත හැඟුම්...

සුවඳ දැනී දැනී දැනෙනවා...



ඊයේ නොදුටූව ලස්සන ලෝකය...
අද කොහෙන් හෝ...
හෙමිහිට ඇවිදින් මිදුල දිගේ මට...
තුරුළු වෙනවා...
ජීවිතේ සුන්දර ද මෙතරම්...
සුවඳ දැනී දැනී දැනෙනවා...


රෑන් රෑන් එන පාට පාට සමනලයෝ...
පේන පේන මල සිප ගන්නෝ...
ආදරේ...
ඔච්චම් කර කර හංකිති කවනා ආදරේ...
බලාපොරොත්තුව දෝත දරා මඟ...
බලා හිදී ඔබ එනතුරා...
ආයේ හෙට දවසක් තියේවී අද වාගේ...
ජීවිතේ සුන්දර ද මෙතරම්...


සුවඳ දැනී දැනී දැනෙනවා...
උදා හිරු එළියේ...
අළුත් ඉරක් දෝ මේ...
හිතට ගලනවා හීත බිඳු බිඳු...
හීන් පිනි හුළඟේ හිනස්සා හිත හැඟුම්...

සුවඳ දැනී දැනී දැනෙනවා...",Calm
C 06,Sanda Kinithi Nami,Lakshman Wijesekera · Yamuna Malini Perera,"සඳ කිනිති නැමී විල් දියට එබී
සොයයි සේයාව සඳේ
ඔබේ නෙතට එබී මගෙ නෙතද සදා
සොයයි සේයාව මගේ
සඳ කිනිති නැමී විල් දියට එබී
සොයයි සේයාව සඳේ
ඔබේ නෙතට එබී මගෙ නෙතද සදා

සොයයි සේයාව මගේ
1st Verse
...
..
.

සසල නොවී විල තිබෙන තුරා
දිලෙයි සඳ දියට යටින්
සසල නොවී විල තිබෙන තුරා
දිලෙයි සඳ දියට යටින්
සසල වෙලා දිය කැළඹුණු දා
බිඳෙයි සඳ කැබලි පිටින්

සඳ කිනිති නැමී විල් දියට එබී
සොයයි සේයාව සඳේ
ඔබේ නෙතට එබී මගෙ නෙතද සදා
සොයයි සේයාව මගේ
2nd Verse
...
..
.
සසල නොවී ඔබ හිඳින තුරා
පෙනෙයි මා ඔබේ නෙතින්
සසල නොවී ඔබ හිඳින තුරා
පෙනෙයි මා ඔබේ නෙතින්
සසර පුරා සැරි සරන තුරා
බලමි ලොව ඔබේ නෙතින්

සඳ කිනිති නැමී විල් දියට එබී
සොයයි සේයාව සඳේ
ඔබේ නෙතට එබී මගෙ නෙතද සදා
සොයයි සේයාව මගේ",Calm
C 07,Mama Ahauwwa Horen,Rookantha Goonathillake,"මං ඇහැව්වා හොරෙන් හදවතින්
මම ඇත්තට ඔයාට ආදරේ දෝ කියා
මට හදවත කිව්වා තව පොඩ්ඩක්
කල්පනා කළොත් හොදයි කියා
මම පැත්තකට වුණා
හදවත කී දෙය ගැනම සිතා
හද පැත්තකින් තබා
ඔයා ගැනම කල්පනා කළා
ඔයා ගැනම කල්පනා කළා

කල්පනාව ගැඹුරුයි
මැවෙනා සිතුවම් හරි සොඳුරුයි
පෙර ආත්මයකදිත්
සිතුවම් කල්පනාවෙ දැවටේ
සිත දැහැන්ගත වුණා
කල්පනාවෙ ඈතට යන්න ගියා
මගෙ ගත නිසල වුණා
පෙර ආත්මයට මා අරන් ගියා
Music
පෙර ආත්මයේදිත් ඔයා
මගෙ විනීත බිරිඳම වෙලා
මේ ආත්මයේදිත් පතා
ආ නිසාලු අපි එක්වීලා
පව් කරපු නිසා
ඒ ආත්මෙදිත් අපි නොදැන සිතා
මේ ආත්මයෙදි දැන්
එක සෙවණක ඉන්න බැරි වෙලා


මම ඇහැව්වා හොරෙන් හදවතින්
මම ඇත්තට ඔයාට ආදරේ දෝ කියා
මට හදවත කිව්වා තව පොඩ්ඩක්
කල්පනා කළොත් හොදයි කියා
මම පැත්තකට වුණා
හදවත කී දෙය ගැනම සිතා
හද පැත්තකින් තබා
ඔයා ගැනම කල්පනා කළා
ඔයා ගැනම කල්පනා කළා",Calm
C 08,La Dalu Bopath Semin Selena Se,Karunarathna Divulgane,"ලා දළු බෝ පත්
සෙමින් සැලෙන සේ
යශෝදරා දේවී...
වාවනු බැරි තැන රහසේ හැඬුවා
පෙර සංසාරේ ඇසුර මතක් වී...

ලා දළු බෝ පත්
සෙමින් සැලෙන සේ...

ලේන කුලේ සිට ආගිය මඟ තොට
සිටියා නොසැලෙන පහන් ටැඹක් වී..
නිවන් දකින තුරු මේ සංසාරේ
පසු පස ආවා සෙවනැල්ලක් වී...


ලා දළු බෝ පත්
සෙමින් සැලෙන සේ
යශෝදරා දේවී...
වාවනු බැරි තැන රහසේ හැඬුවා
පෙර සංසාරේ ඇසුර මතක් වී...

ලා දළු බෝ පත්
සෙමින් සැලෙන සේ...

තැලී සෙනේ සිත සැලී හඬන විට
වැටී දෙපා ලඟ යශෝදරාවෝ
පිපී නිවන් මල් සාධුකාර දී...
නිවී පහන් විය උදෑසනක් සේ...


ලා දළු බෝ පත්
සෙමින් සැලෙන සේ
යශෝදරා දේවී...
වාවනු බැරි තැන රහසේ හැඬුවා
පෙර සංසාරේ ඇසුර මතක් වී...

ලා දළු බෝ පත්

සෙමින් සැලෙන සේ...",Calm
C 09,Maru Kathare Minis Pure,Milton Mallawaarachchi,"මරු කතරේ මිනිස් පුරේ
කොතැනක වේවා
මෙතේ බුදුන් පාමුල මා
නෙළුමක් වේවා.....

හිමිදිරියේ මද්දහනේ
සවසක වේවා
හිමි බුදුවන මොහොතක මා
බෝ මැඩ වේවා
හිමිදිරියේ මද්දහනේ
සවසක වේවා
හිමි බුදුවන මොහොතක මා
බෝ මැඩ වේවා

මරු කතරේ මිනිස් පුරේ
කොතැනක වේවා
මෙතේ බුදුන් පාමුල මා
නෙළුමක් වේවා.....

බණ අසනා එය වඩනා
මොහොතක වේවා
නිවන් දකින්නට ඔබ ළඟ මා
නෙත් පියවේවා......
බණ අසනා එය වඩනා
මොහොතක වේවා
නිවන් දකින්නට ඔබ ළඟ මා
නෙත් පියවේවා......

මරු කතරේ මිනිස් පුරේ
කොතැනක වේවා
මෙතේ බුදුන් පාමුල මා
නෙළුමක් වේවා.....",Calm
C 10,Daluw Pahan,"Chandralekha Perera, Rohana Weerasinghe","දැල්වු පහන් දැල්වී තිබේවා

සුන් වු පැතුම්.. දළු ලා වැඩේවා

ළං වූ ලවන් හමු වී තිබේවා
වෙන් වූ නුවන් කඳුලින් මිදේවා


විරහී හදින් ගලන දුක් වේදනාවන්

සිහිලැල් පවන් රැල්ලකින් සංසිඳේවා

නොබිදී නිර්මල ප්‍රාර්ථනාවන්

පෙම්වත් ලොවක් අරුණු අහසේ දිසේවා


දැල්වු පහන් දැල්වී තිබේවා

සුන් වු පැතුම්.. දළු ලා වැඩේවා

ළං වූ ලවන් හමු වී තිබේවා

වෙන් වූ නුවන් කඳුලින් මිදේවා
",Calm
