label,length,mean_stft,var_stft,tempo,rms_mean,rms_var,centroid_mean,centroid_var,bandwidth_mean,bandwidth_var,rolloff_mean,rolloff_var,crossing_mean,crossing_var,harmonic_mean,harmonic_var,contrast_mean,contrast_var,key,key_name,scale,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
Calm,89.9648979591837,0.27522364,0.09302104,161.4990234375,0.0813672963954121,0.00121517160262874,1673.69729250443,356190.664084484,2192.00851277924,149485.037934819,3865.4433530746,2111650.38595737,0.0577440776209677,0.00109109271325976,-0.0000040199843,0.014512554,24.1944137136667,70.1715207485907,7,G,Major,-171.34842,1564.2357,106.04218,558.2195,16.841413,270.8814,50.104435,166.13,3.3864632,173.147,17.12086,99.737335,-7.873852,103.57382,6.74976,83.47843,-12.973899,125.223465,6.8762956,102.615685,-10.27032,100.39214,0.8753226,76.19503,-9.170548,71.19248,0.16544756,94.379105,-12.127296,97.56928,5.1861134,73.22472,-9.724364,80.94616,5.4381933,80.18589,-5.477156,112.20645,0.053527597,71.645546
Calm,90.0053514739229,0.25073978,0.09068272,112.34714673913,0.0826272612431761,0.00142245374278476,1765.69587933828,335644.825041255,2174.43327335187,227028.848810348,3983.49817181052,2965844.04021677,0.0691756119825251,0.000938584456758773,0.000015361098,0.014157257,23.9205921782823,75.4110595376819,0,C,Major,-160.15326,3994.0208,112.11632,828.20953,12.366071,636.9465,28.261736,375.02274,-7.0246706,171.06831,15.539514,148.0628,-8.655636,150.42224,7.5794287,160.5781,-12.778779,116.04872,3.047273,161.28714,-16.145987,132.2951,3.137176,102.750694,-9.631259,114.2917,2.3825755,103.898926,-7.0507894,110.63891,4.754404,86.876045,-5.14529,98.02707,-3.866246,98.045235,-4.8778634,107.57448,-0.23209625,128.44089
Calm,90.0053514739229,0.2866687,0.09369139,112.34714673913,0.114715597463416,0.00168123333676836,2187.20390419322,243034.59740396,2390.19769370793,87226.4165959459,4897.31799212503,1105769.05445806,0.0834367745679649,0.00190206454531646,0.000000113675114,0.03153336,24.2146368502136,82.6542460630872,4,E,Major,-93.37675,1829.1926,89.87021,344.6292,-3.6479523,509.94803,38.329952,241.20122,-8.214548,199.7255,13.702781,72.86912,-11.734178,118.68017,12.487252,79.448395,-14.1526,97.52083,8.83417,100.88388,-15.550446,112.320786,4.790734,85.69448,-8.65849,97.043205,2.725246,86.85274,-12.605964,93.400925,8.641453,104.6898,-4.955923,108.652824,5.016712,90.776955,-8.201651,78.62953,-5.5194364,63.80798
Calm,90.0053514739229,0.33722278,0.09017985,161.4990234375,0.0649723752153856,0.000719054124016204,2005.87469205424,340292.25808404,1895.58254259699,78345.9171118291,3951.33166525946,916146.261295615,0.0913010371663013,0.00254937026753738,-0.0000006929597,0.009054335,22.6609908539686,82.2639002612881,0,C,minor,-139.02234,4042.3271,107.21231,680.33685,-37.228462,429.58957,55.456387,374.59018,-11.238173,212.99591,22.366726,115.669365,-8.464429,105.67279,10.894995,75.90086,-15.568562,76.34909,3.4045203,101.994835,-9.680593,63.99717,5.885859,61.087414,-6.7776628,77.30562,2.4807413,66.04342,-6.2376094,75.41425,1.3169307,44.67836,-4.801381,62.484035,1.9908327,50.326237,-6.9992003,47.119698,-6.218065,52.38144
Calm,90.0053514739229,0.3051648,0.088748336,161.4990234375,0.104558213050164,0.00116933190383057,1663.89318777114,350023.846848296,2044.1615596934,233139.782987899,3734.14456827726,2540382.23681798,0.063608047056358,0.000916477012935129,-0.00003295222,0.025225358,23.7052036079139,77.8665913996595,2,D,Major,-126.53147,2580.4773,118.04208,808.83295,2.4649355,402.40198,44.27412,276.95505,-4.2598586,152.3344,25.30957,107.226555,-3.5204384,106.035194,15.094878,92.560356,-9.978198,76.49863,8.020827,83.1062,-4.2849064,83.1693,7.5655518,71.744576,-8.552912,87.9657,11.239578,79.28185,-1.8240131,89.917854,5.619913,80.377174,-4.650899,64.22008,1.6488519,73.429375,-3.7883043,77.242744,0.5039275,78.3981
Calm,90.0053514739229,0.3002795,0.09196656,92.28515625,0.0648123589238534,0.00129821709746487,1842.28461598361,386170.104194339,2246.18159962553,187724.456689439,4234.78182127773,2508581.60756157,0.0697987782515476,0.00142482949160272,-0.0000365367,0.009363106,22.2097742829606,80.1755637613955,9,A,Major,-164.79904,3850.6287,106.36802,536.7233,6.901452,293.5799,34.127155,177.28604,3.255494,193.79974,19.44353,113.81766,-8.454575,130.66673,9.795672,117.894035,-8.346858,133.20497,7.5279913,83.93889,-4.9056344,77.38253,3.738026,103.10643,-6.1770973,86.61531,7.63898,79.082924,-2.013407,89.28737,6.8833823,67.447914,0.13626501,72.51238,5.4356723,81.89167,-4.388196,71.506935,3.0097823,62.58408
Calm,90.0053514739229,0.3488103,0.08565721,112.34714673913,0.0533183038715507,0.000650380877781789,1492.97489828592,320632.658193821,1968.23941929838,185883.339583625,3284.7715569182,1989549.38272381,0.0520342575203121,0.000787842865922108,0.0000007788373,0.0068413797,23.9676518747979,68.8460223817896,7,G,Major,-210.96712,6485.994,119.30444,663.3353,8.115563,231.32214,41.17899,239.90628,-1.4445858,222.35133,18.727114,154.88306,-0.5336971,118.44187,5.599513,109.291466,-12.03362,111.14903,7.5071154,102.665504,-7.3724055,106.77837,2.3751683,97.14108,-4.743308,84.40914,4.9372287,108.02945,-7.759977,101.62232,5.0878997,72.74835,-4.610814,67.21177,2.992836,70.89052,-6.708664,59.387188,-2.2496567,97.02241
Calm,90.0053514739229,0.3037183,0.09552232,143.5546875,0.0487812952398619,0.00128703360420801,1770.32281704298,430585.538732318,2070.00225410321,139265.117579398,3835.13456890194,2197239.68528173,0.0700397073284756,0.00279337454619705,-0.00000041463733,0.0074815964,24.4665864863225,76.5263764807841,6,F#,minor,-225.18286,3884.2942,101.81095,567.4439,0.23984338,480.20215,33.85854,304.13763,-3.7696607,330.99176,18.417526,107.67328,-1.3814229,196.34111,4.9710083,121.34561,-9.210456,128.2093,-3.6976109,101.12416,-7.674168,108.736404,1.5188053,67.30568,-7.8282213,86.344604,-1.5549968,94.274216,-11.56028,99.38233,-2.5684025,67.24092,-2.089308,71.593445,4.196019,82.766685,2.8413565,119.08441,0.66350144,183.5137
Calm,90.0053514739229,0.29588294,0.09256803,107.666015625,0.0717136988226373,0.000779565442826557,1937.65258533259,301569.495786803,2124.86561940609,106202.281120189,4107.58207457441,1351434.09028084,0.0770878588873485,0.00170045845556761,-0.00000032159798,0.01141683,24.6729950587722,87.0071560777805,8,G#,Major,-137.64,1811.6764,104.500336,508.21783,-16.128975,275.4931,33.888515,227.58101,-15.309563,221.34134,2.5166855,192.27376,-14.839758,114.685936,3.2072806,67.786766,-23.06524,172.74629,4.4833713,75.54689,-19.412825,76.96319,3.743585,54.89399,-9.925442,71.65227,-0.47322318,70.76689,-13.677321,76.859566,2.8974476,52.501793,-8.728947,79.04169,2.27898,78.509384,-11.355798,78.32054,-6.3962054,66.5245
Calm,90.0053514739229,0.26068303,0.08753792,117.453835227273,0.0859874432418414,0.00164774025459325,1976.10088560622,288547.751368432,2179.62806605597,132136.228227217,4235.29002042293,1535983.10947012,0.0905693079781403,0.00151528618978841,0.0000027501324,0.01898995,24.1199106519757,74.1000903989167,7,G,minor,-135.07402,3851.4587,98.01676,511.87463,-4.4531245,264.26093,44.91829,196.56961,-1.8912424,170.76231,14.077247,157.5205,-2.7200131,115.92771,16.026232,106.009155,-8.156557,117.796524,7.8187833,125.321915,-12.182571,131.42535,3.9956534,110.45602,-12.672399,127.05774,5.755087,131.42485,-6.9203396,105.035995,8.713488,132.12129,-1.4400196,99.07419,10.398266,103.6659,1.1321243,148.83072,6.781093,139.68657
Calm,90.0053514739229,0.39730215,0.096328996,161.4990234375,0.0836781678837766,0.00277479672133828,1794.01053104544,952285.845399273,2255.12885951819,280284.504062972,4058.57557011905,4537114.51244336,0.056078793001999,0.00329786076513441,-0.0000029656703,0.012414294,22.0454697442206,80.8402442014992,6,F#,minor,-188.8159,7555.6006,95.10956,1241.4968,28.969048,607.45795,52.78796,275.3531,9.03637,149.86868,19.318264,141.23338,-3.2825422,167.50183,17.896654,134.3575,-0.6423848,107.658325,10.264538,74.65032,-4.488907,67.17426,5.497943,69.83635,-6.5694127,51.84928,2.3264108,46.18098,-5.7299533,65.19714,3.4274793,49.983902,-6.604201,51.397606,2.224123,58.940063,-6.5134635,53.14868,0.6589865,66.63536
Calm,90.0053514739229,0.29152942,0.09639836,135.999177631579,0.116900177715614,0.00235561469423731,1668.8694742519,285576.82514561,2015.82606427166,159851.750366438,3577.92748349642,1815854.04292689,0.065569358355365,0.00123099379082478,-0.000020503401,0.03026625,23.3917546902089,77.357672558814,10,A#,Major,-114.37975,2576.4968,117.74275,629.3905,-7.011712,334.21942,39.438377,349.96707,-0.057761267,269.0751,17.724384,112.2085,-9.289636,139.66484,6.60194,115.56375,-13.960917,90.10151,7.3139853,120.84469,-5.824014,122.27581,3.6257813,86.58986,-8.784637,84.16524,2.8861265,98.09787,-7.5087075,71.53393,5.808514,73.93424,-7.725935,77.057,4.45297,87.034584,-7.65815,72.90671,-3.7472923,77.3846
Calm,90.0053514739229,0.27344996,0.09395104,172.265625,0.067580223320403,0.00161653022539186,2443.27187477829,437014.769035285,2100.97018195042,121813.229786596,4800.857351095,1456507.20698378,0.140902956337052,0.00507630203906954,0.0000024678973,0.010626012,23.1519618857546,95.2246402809483,5,F,minor,-144.63129,6471.396,82.51412,672.88153,-27.553432,329.6127,41.944416,278.94473,-21.81019,195.49835,14.270397,202.35655,-12.188376,186.32755,13.22158,274.79633,-12.810372,279.35037,7.7653356,146.20929,-8.343408,216.14099,5.305658,109.81849,-2.973057,137.18044,0.54345256,119.70378,-7.458809,141.9082,0.5617932,68.74487,-4.9872775,87.31195,-2.7897081,110.57708,0.35141188,102.32272,4.2341304,136.31729
Calm,90.0053514739229,0.34478176,0.08974153,129.19921875,0.0886606039584494,0.0022101762798137,1865.68267324322,538175.100846359,2254.58163077153,239337.752643191,4323.15848574123,3287392.79826514,0.0665920160159273,0.00170580098196801,-0.00061178795,0.017644368,24.5120525437178,86.5558741766885,6,F#,Major,-140.28275,5806.047,104.16541,770.5288,8.513203,300.56158,34.826187,195.65683,-0.7071096,215.00278,21.638372,152.42326,-5.2240157,151.10056,13.243437,246.58626,-9.826101,112.46413,10.278268,112.73938,-7.206163,86.060394,5.3204174,102.93038,-6.832787,110.601654,8.863835,95.9708,-4.687474,82.28912,3.8359327,95.09624,-7.960144,77.04641,2.488923,69.18356,-6.605574,68.44982,3.053832,68.68159
Calm,90.0053514739229,0.3080218,0.09263322,151.999080882353,0.0442439912771725,0.000262240395233135,2166.63117962113,510700.1424002,2406.95080349778,164103.096965519,4883.03287516927,2275046.20601602,0.0841662367810162,0.00115769765953091,-0.000115979485,0.0038885388,25.1573429433822,74.1845531771683,10,A#,Major,-192.2207,2845.284,93.61581,488.99844,11.070423,329.54404,39.038124,306.56778,-16.106659,133.43614,8.29781,151.6981,-2.92162,129.27443,14.198333,113.19762,-19.912222,72.40801,10.896929,108.23788,-19.075329,114.340164,4.5109224,83.97415,-15.269536,87.09929,-7.2162857,118.67051,-12.837301,107.06837,-3.0219567,92.48132,-10.506539,87.68744,-0.9466741,118.80549,-9.070422,120.53274,-0.8054604,107.77492
Calm,90.0053514739229,0.28802338,0.0931407,151.999080882353,0.0941739067290656,0.00177415967758992,1755.23168041612,281080.458572568,2175.48868862945,99499.4676462772,3840.12491788512,1516407.96847865,0.0629520096482461,0.000980474151662171,0.0000048653856,0.0169768,23.5639335692227,75.4064760257005,11,B,minor,-141.05936,2752.6272,105.29915,485.87012,6.2225785,241.66873,42.786633,324.89148,3.7250059,168.72183,16.17231,148.35979,-4.1419716,127.66736,17.599667,113.12773,-8.895205,130.79929,8.56143,122.421844,-4.234641,111.76183,5.2148585,111.884254,-7.3733,128.1143,3.8092797,119.38895,-6.0266366,92.855736,5.3137584,94.72846,-8.464314,75.10229,1.5056608,70.25708,-4.3021216,100.5039,-0.19672596,123.07564
Calm,90.0053514739229,0.35471416,0.08984182,112.34714673913,0.0986383473445387,0.0023620091221739,1520.74828315085,376335.756708073,2037.74716407178,233491.347904065,3410.05791995462,2467680.11229384,0.0478463988344725,0.000705150440326347,0.000010812573,0.0135371825,22.8226034982647,73.4009307275705,2,D,minor,-150.06216,4636.431,116.992165,987.84607,11.537435,273.16928,46.105984,252.81429,3.4937038,156.9099,18.293243,131.4398,-2.8382423,96.02837,13.745103,121.63369,-5.4183817,76.26981,8.295498,74.56823,-4.7316847,71.28992,6.392717,86.67459,-4.5746,68.93822,2.6982272,79.533966,-7.7451015,58.619778,1.5346951,72.90379,-7.1902027,56.034145,-2.0042543,75.99097,-6.083398,49.235455,-1.4707451,67.46294
Calm,90.0053514739229,0.31045502,0.093262225,129.19921875,0.036488167912491,0.000317304620547657,2106.90277337041,423643.962383752,2002.00256584759,86834.2904706208,4142.02575762308,1237155.57199129,0.110471460294687,0.00535477503666038,0.000000077070936,0.0027484454,24.3476172132464,86.4523076380486,1,C#,minor,-208.52385,3918.1619,98.05084,776.42535,-27.284437,389.89734,49.48135,292.69217,-7.4584594,567.4727,16.547237,172.69922,-9.343075,143.62604,5.992901,129.91121,-12.760938,115.97568,-4.0969157,137.21974,-12.375601,122.893166,3.1656563,98.35967,-7.7747273,110.84041,-1.568253,84.75915,-11.110816,77.53137,1.6853645,68.61638,-9.43116,61.108677,5.94654,77.92294,-3.4610543,91.38866,-0.19519714,82.679634
Calm,90.0053514739229,0.27093905,0.09416347,161.4990234375,0.0669108673616826,0.00166330568749333,1506.78390247238,351918.455909271,1789.39999249829,256125.843272388,3094.25519540318,2593908.32105757,0.0685851909095306,0.00166815421182949,-0.0000020598975,0.009398166,24.9869499027303,73.870801557223,0,C,Major,-202.54956,2675.5837,124.5939,909.0357,-9.181982,554.9475,26.45872,449.31326,4.688804,306.96222,7.803653,222.47214,-6.0670247,160.00058,14.389942,310.55637,-8.976667,178.89864,4.7293687,97.01269,-10.655682,102.25342,-5.160292,97.983604,-4.3532457,103.32768,1.0511354,105.3155,-8.521535,74.71403,-8.068945,137.67413,-5.476117,96.26327,-4.5746965,130.55785,-4.3431377,170.78276,2.8667476,220.21666
Calm,90.0053514739229,0.28672752,0.094454974,123.046875,0.0686635832960118,0.00174346849224284,2755.23406491428,695937.087843498,2496.49423136236,229864.321961978,5714.074552751,2332936.25685384,0.127004257883028,0.00415414379487502,-0.0000035456621,0.012716841,22.6658763897288,81.9905165949258,9,A,minor,-144.3895,9532.913,67.39217,825.29767,-6.1847525,383.83633,37.4864,358.49838,-2.8830216,236.94872,15.222832,130.02737,-14.829614,135.65686,12.52399,108.405014,-11.905627,85.350365,6.098024,72.44148,-15.249326,86.5252,1.8872579,105.33291,-13.60888,86.55012,4.084312,99.920845,-7.6680837,117.49631,6.0081797,88.211464,-8.097967,97.630714,1.8947927,82.49124,-9.695244,94.67536,-1.8727753,100.59351
Calm,90.0053514739229,0.28266478,0.096435905,103.359375,0.0868988271043246,0.00180911621722245,1548.09034622781,308339.594105561,2017.71199601774,197624.770882424,3630.38307723232,1882025.78673803,0.0466614005674491,0.0009763047153397,0.0000020496193,0.019399378,23.2948713661713,89.7589051399616,5,F,Major,-182.37291,4032.7112,107.65608,705.02734,9.479689,315.24335,60.27093,252.04123,6.526107,228.92216,19.67648,174.91797,-10.609742,152.3816,5.5725303,122.46574,-14.357549,113.928894,4.9487534,127.37497,-9.445507,101.009735,2.1172225,73.27826,-8.107943,77.34876,-0.412399,85.58549,-6.793658,90.03122,0.06620128,70.08835,-4.4445977,98.126274,4.103984,89.92285,-3.076161,106.94738,-0.4466871,84.11354
Calm,90.0053514739229,0.3657386,0.0932716,129.19921875,0.0329960795696173,0.00043465739527173,2939.0821229667,1500390.61610357,2670.31224895554,203139.771961535,6064.76251042809,3248529.52936859,0.143537937072801,0.0131903030737332,0.0000044920866,0.0016180638,22.487075584871,82.8128201466392,7,G,minor,-223.10043,5285.92,62.90712,1311.2178,21.595108,374.02567,49.433132,255.61134,-1.9433643,185.40962,14.973358,150.86188,-7.9373956,130.45839,13.6473255,84.4934,-12.895651,153.53868,8.78311,112.400276,-11.708405,103.83487,8.853237,81.75698,-10.661636,127.26718,3.475712,67.602295,-11.154211,96.51934,7.2345166,79.430084,-3.8370974,77.560524,7.1254153,79.31189,-8.116418,71.548134,2.19779,85.66747
Calm,90.0053514739229,0.28185162,0.088725105,123.046875,0.0899431791149235,0.00167194895798209,1454.81618986772,761928.05837804,1878.20046874894,176254.086106595,2993.47069607219,2415099.08101154,0.0598612409724013,0.00645640375765498,0.0000013839694,0.020066096,24.0282471072126,68.8372676566714,1,C#,minor,-173.9219,7743.1416,128.97797,984.622,11.084328,526.2212,41.992836,195.32614,0.8487255,153.41286,12.934784,134.63295,-10.436855,103.517395,6.26216,123.10348,-11.280456,122.2446,4.758692,97.09547,-7.9192085,109.35548,7.2699814,83.43483,-7.8325806,57.85333,0.48208395,83.671585,-5.922005,72.51664,1.3131799,74.876724,-7.8436437,71.336494,0.64560556,79.473595,-4.779215,79.89332,-3.7727814,83.92714
Calm,90.0053514739229,0.2809735,0.08768465,151.999080882353,0.0977130147140209,0.00199605596374556,1409.52017852808,482461.550617258,1919.38546975086,518876.40439419,3228.56973013928,3601007.26920532,0.0504889361539206,0.00087980326918837,0.0000038557437,0.023515273,23.3776980535611,75.972697471101,5,F,minor,-165.37279,10556.598,123.06929,2027.014,17.554974,244.0205,33.435257,282.28558,-0.6313453,162.34383,15.7051525,114.64423,-6.6430492,88.33969,10.175333,79.57202,-7.4595885,92.8213,7.6574974,85.785934,-9.6746,100.67836,2.9455316,55.477036,-10.091449,79.92852,4.1769323,80.70773,-4.362542,64.29576,3.2623136,73.676956,-2.8578606,66.3899,4.537433,93.41524,-4.0832357,93.88695,0.5396515,93.61063
Calm,90.0053514739229,0.2993821,0.09207567,103.359375,0.0786265918365855,0.00125392186853714,2026.59754416571,319190.088371473,2239.17152615304,161758.940741147,4353.00338308252,1812599.73409169,0.0859251575799587,0.00195163038072907,0.0000015877381,0.014007583,23.0235149148705,73.3500542428297,7,G,Major,-131.05101,3416.703,99.2885,527.85315,-9.704459,404.74847,38.074512,314.3004,3.2422006,197.7677,12.598459,146.51077,-7.3909135,102.03291,7.619934,84.37501,-17.479893,116.1674,6.0430584,94.972115,-20.451199,70.95538,4.816427,79.9412,-8.752166,89.52713,0.05166907,81.203476,-10.644257,59.935993,4.664371,65.06364,-7.664278,62.84756,3.810041,81.687355,-5.5346537,78.095276,-2.4733813,65.4887
Calm,90.0053514739229,0.29913476,0.093196325,99.3840144230769,0.0844908145897272,0.00157086001623809,2460.69810460407,573401.864566944,2577.0586760307,144234.916445158,5536.33815006771,2057161.39974105,0.111814265217952,0.00441718101043063,0.00049421575,0.015730627,23.535543706539,81.4401782536175,0,C,Major,-122.66251,2314.398,81.56247,514.8639,8.74466,263.82837,41.633255,190.96918,-1.3351191,186.93163,13.992577,73.11717,-12.776541,94.91262,7.946991,83.49186,-19.335913,94.000336,3.1550918,122.65911,-17.636322,80.81192,-1.5156988,86.39651,-18.748146,67.62076,3.3627834,66.16253,-12.656588,57.253452,2.960678,49.115765,-14.585055,47.980404,-0.47611994,49.862057,-10.668379,67.47801,-3.4879897,75.20789
